MutationType	SP116536	SP116539	SP116542	SP116545	SP116548	SP116550	SP116553	SP116557	SP116559	SP116562	SP116564	SP116571	SP116393	SP116442	SP116446	SP116419	SP116383	SP116385	SP116440	SP116450	SP116493	SP116391	SP116401	SP116409	SP116416	SP116424	SP116515	SP116499	SP116505	SP116509	SP116437	SP116512	SP116465	SP116496	SP116525	SP116481	SP116586	SP116528	SP116589	SP116406	SP116484	SP116453	SP116469	SP116578	SP116531	SP116593	SP116487	SP116456	SP116472	SP116518	SP116412	SP116534	SP116596	SP116490	SP116459	SP116475	SP116520	SP116431	SP116582	SP116599	SP116478	SP116462	SP116523	SP116434	SP122725	SP122476	SP122372	SP122489	SP122560	SP122590	SP122714	SP121870	SP123010	SP121865	SP122676	SP122412	SP122392	SP122634	SP122702	SP121828	SP121783	SP121774	SP121790	SP121859	SP121808	SP121781	SP121763	SP121811	SP121852	SP122361	SP121837	SP121824	SP121841	SP121831	SP121761	SP121816	SP121861	SP121847	DRUP01010001T	CPCT02010424T	CPCT02010349T	CPCT02020325T	CPCT02030246T	CPCT02070010T	CPCT02010370T	CPCT02010369T	CPCT02070013T	CPCT02060018T	CPCT02060022T	CPCT02070009T	CPCT02010398T	CPCT02010408T	CPCT02030246TII	CPCT02010386T	CPCT02020309T	CPCT02080045T	CPCT02020398T	CPCT02010392T	CPCT02090003T	CPCT02060274T	CPCT02020650T	CPCT02080181T	DRUP01340015T	CPCT02070436T	CPCT02050225TII	DRUP01070031T	CPCT02070278T	CPCT02010732T	CPCT02060181T	CPCT02080175T	CPCT02020903T	CPCT02070441T	CPCT02080181TII	CPCT02070290T	DRUP01090011T	CPCT02080297T	CPCT02010680T	CPCT02090064T	CPCT02020937T	CPCT02090065T	CPCT02060191T	CPCT02060192T	CPCT02011090T	CPCT02070463T	CPCT02011094T	CPCT02030458T	CPCT02060282T	DRUP01090012T	CPCT02090042T	CPCT02340078T	WIDE01010040T	CPCT02020683T	CPCT02020691T	DRUP01010077T	DRUP01050021T	CPCT02080206T	CPCT02060292T	CPCT02060290T	CPCT02090044T	WIDE01010138T	CPCT02130062T	WIDE01010160T	CPCT02020706T	CPCT02070313T	WIDE01010187T	WIDE01010169T	CPCT02100161T	CPCT02070317T	WIDE01010239T	WIDE01010233T	CPCT02070322T	WIDE01010262T	WIDE01010267T	WIDE01010293T	WIDE01010167T	CPCT02060211T	DRUP01080012T	WIDE01010356T	WIDE01010374T	WIDE01010393T	CPCT02090036T	CPCT02340018TII	CPCT02340088T	WIDE01010452T	CPCT02080227T	CPCT02060230T	CPCT02020750T	CPCT02060241T	CPCT02060245T	CPCT02070319T	CPCT02010856T	CPCT02090052T	CPCT02090053T	CPCT02070357T	CPCT02090057T	CPCT02270035T	CPCT02060254T	CPCT02070365T	CPCT02060258T	CPCT02080247T	CPCT02020794T	CPCT02020790T	CPCT02060253T	CPCT02020775T	CPCT02030513T	CPCT02380051T	CPCT02080248T	CPCT02070371T	CPCT02070366T	CPCT02050392T	CPCT02130147T	CPCT02020812T	CPCT02020820T	DRUP01090014T	CPCT02060240T	DRUP01060024T	CPCT02020848T	CPCT02010648T	CPCT02060130T	CPCT02010649T	CPCT02060127T	CPCT02340106T	CPCT02150034T	CPCT02030415T	CPCT02060235T	CPCT02010625T	CPCT02060275T	CPCT02340026T	CPCT02090063T	CPCT02010549T	CPCT02060066T	CPCT02020450T	CPCT02010406TII	CPCT02050167T	CPCT02110036T	CPCT02010599T	CPCT02010595T	CPCT02100091T	CPCT02060104T	CPCT02010600T	CPCT02110040T	CPCT02340018T	CPCT02050225T	CPCT02040141T	CPCT02340020T	CPCT02080139T	CPCT02060061T	CPCT02070051T	CPCT02010408TII	CPCT02010429T	CPCT02020438T	CPCT02040072T	CPCT02020428T	CPCT02010494T	CPCT02070095T	DRUP01070006T	DRUP01070005T	CPCT02020465T	CPCT02030325T	CPCT02090011T	CPCT02060071T	DRUP01070010T	CPCT02070111T	CPCT02070098T	CPCT02090012T	DRUP01090001T	CPCT02070108T	CPCT02010548T	CPCT02090014T	CPCT02010559T	CPCT02080102T	CPCT02030422T	CPCT02070249T	DRUP01070029T	CPCT02070247T	DRUP01010053T	DRUP01100003T	CPCT02070257T	CPCT02340046T	DRUP01080008T	DRUP01340002T	CPCT02010715T	WIDE01010465T	WIDE01010487T	WIDE01010492T	WIDE01010497T	WIDE01010521T	WIDE01010519T	WIDE01010527T	WIDE01010517T	WIDE01010699T	WIDE01010713T
Ins2:U1:R1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3	0	0	0	1	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	2	0	0	2	1	0	1	0	1	1	1	0	1	0	2	0	0	1	1	1	0	7	2	0	0	0	1	0	0	1	0	4	1	1	2	0	1	0	1	0	0	1	0	0	1	0	1	0	0	1	2	0	2	10	0	0	0	8	1	1	0	0	1	1	1	3	2	1	2	1	1	1	1	0	1	2	3	0	0	2	1	1	0	0	1	2	0	0	1	1	0	1	3	0	0	0	0	1	2	2	1	1	0	0	0	0	0	0	0	1	0	0	1	1	0	1	1	0	0	1	1	1	10	2	0	0	0	1	1	0	0	3	0	0	0	0	3	0	4	2	0	0	1	1	0	0	0	2	0	0	0	0	1	2	0	1	0	1	0	0	3	0	0	1	0	0	2	4	0	2	1	1	0	1	1	6	1	0	3	0	0	2	3	0	2	0	3	0	0	1	0
Ins2:U1:R2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	2	1	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	1	0	0	1	1	0	2	0	1	0	0	0	1	1	1	0	1	1	0	1	2	0	2	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	3	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	3	0	0	0	0	0	1	0	1	0	1	0	1	1	0	0	2	1	1	0	1	0	0	1	0	0	1	0	2	0	1	0	2	1	1	0	3	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0
Ins2:U1:R3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	3	0	0	0	0	2	0	0	0	1	1	0	0	1	2	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	2	1	0	1	1	0	0	0	0	0	1	0	1	2	6	1	0	2	2	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	1	0	0	1	3	1	1	1	1	2	0	0	2	1	0	1	3	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	2	0	2	0	2	1	1	0	1	0	0	0	0	1	0	0	1	1	2	0	0	3	0	0	0	0	1	1	0	0	1	2	0	0	1	2	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	3	0	0	0	2	0	0	2	0	1	1	1	0	0	1	1	0	0	1	1
Ins2:U1:R4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	3	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ins2:U1:R(5,9)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0	1	0	1	0	0	0	1	1	1	2	0	1	2	1	0	0	1	1	1	1	1	0	0	0	0	0	4	1	0	0	0	0	2	1	0	0	2	1	1	1	0	0	0	1	0	0	1	0	0	0	3	2	0	0	0	2	0	3	0	0	0	1	0	0	1	1	0	1	1	0	0	0	2	0	0	2	0	0	1	3	1	0	0	1	3	0	1	0	1	0	1	0	0	2	1	0	1	0	0	1	0	0	0	3	0	0	4	0	0	0	0	0	0	1	1	0	0	2	2	0	0	0	0	1	0	1	1	0	0	0	0	2	2	0	0	0	0	2	1	0	3	0	2	2	1	1	0	0	0	0	1	0	1	0	0	1	0	1	0	2	1	1	2	0	0	0	0	1	1	1	1	0	0	1	0	0	0	3	3	2	2	0	3	0	1	1	0	2	0	1	0	0	0	1	1
Ins2:U2:R1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	1	1	0	0	0	4	0	0	0	0	0	2	0	0	2	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	1	1	0	1	0	1	2	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	3	2	2	1	4	2	1	4	3	3	1	3	3	0	3	2	4	2	0	0	1	4	4	0	3	8	1	2	2	5	3	3	2	0	0	1	1	0	0	4	4	1	4	5	2	2	1	4	1	4	1	2	2	3	0	3	7	2	2	0	3	2	6	2	1	3	5	3	9	2	1	2	0	1	5	1	1	2	4	3	0	3	3	1	2	0	1	2	2	4	0	0	1	2	1	4	0	2	2	2	3	1	2	0	1	0	4	5	1	0	0	2	6	1	2	4	2	4	0	0	3	2	0	5	2	10	2	1	0	5	2	0	1	0	0	1	1	1	1	2	1	1	4	3	1	3	1	0	1	0	0	0	1	2	3	2	1	1	4	0	1	3	4	2	0	4	0	2	0	5	2	0	2	0	7	3	1	1	6	3	0	14	3	0	0	3	2	1	3	2	0	0	2	5
Ins2:U2:R2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	5	1	0	1	1	0	4	1	0	0	1	0	1	1	1	1	2	0	1	0	1	0	1	0	6	0	2	1	2	0	0	0	1	1	2	0	1	0	0	0	1	0	2	0	0	0	1	0	0	2	0	2	1	1	1	1	0	3	0	3	1	1	1	1	0	3	2	0	0	1	2	0	1	2	1	0	0	9	1	0	2	1	1	0	1	2	0	0	1	0	2	0	3	1	2	1	2	0	0	1	0	0	1	0	1	2	1	0	1	0	0	1	0	1	0	1	2	2	1	1	0	1	0	0	1	0	2	0	0	0	1	0	1	0	3	1	0	0	1	0	1	1	2	0	0	0	0	2	1	1	2	0	1	2	0	1	0	0	0	0	2	0	0	0	0	1	2	1	0	3	2	4	0	2	1	0	0	2	2	0	5	0	0	0	2	1	0	4	0	0	1	0	4
Ins2:U2:R3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	1	0	0	1	2	0	1	0	4	1	0	0	0	2	0	0	0	0	4	0	0	0	4	1	1	0	1	0	3	1	0	0	0	0	1	4	0	2	2	0	0	0	1	0	1	0	0	0	1	1	1	1	0	2	0	0	0	2	2	0	1	0	0	2	1	0	0	1	0	0	3	2	0	0	1	1	0	0	1	1	0	0	0	0	2	1	2	1	0	1	1	0	1	1	0	0	0	0	4	0	0	0	0	0	0	0	1	0	1	1	0	0	1	2	1	0	2	2	3	0	0	0	3	1	0	0	0	2	0	1	0	1	0	3	1	0	1	0	1	0	1	2	0	0	1	1	1	0	0	1	0	1	0	1	1	2	0	0	2	2	0	0	1	1	2	1	0	0	1	0	1	0	1	2	2	1	1	0	1	0	1	2	0	0	0	1	0	0	0	0	2
Ins2:U2:R4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	0	0	1	2	1	2	2	1	2	1	0	1	2	1	1	1	3	2	3	0	0	0	0	0	2	1	0	0	0	0	1	0	2	3	0	1	0	1	0	1	0	0	0	2	2	3	0	4	1	0	1	0	1	0	1	0	1	1	2	2	2	0	3	3	1	2	0	0	0	2	0	1	2	3	1	1	2	1	0	1	2	0	1	2	1	1	3	0	2	4	1	0	2	1	0	1	1	1	2	0	1	0	1	1	2	0	0	0	1	0	0	1	2	0	1	1	2	0	3	1	0	0	1	0	0	0	0	1	0	1	0	0	2	6	2	1	1	0	0	1	0	1	0	1	1	0	2	0	0	1	0	0	1	1	1	0	2	0	1	0	1	4	2	4	2	1	1	0	1	1	2	0	2	0	0	2	1	0	0	2	1	0	0	0	5
Ins2:U2:R(5,9)	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	4	3	1	2	1	1	0	0	0	0	1	0	3	1	0	0	0	0	1	0	0	11	0	0	0	0	0	1	1	0	1	0	0	8	0	2	1	0	2	0	0	2	1	3	2	0	3	0	5	2	0	1	1	0	2	2	3	1	6	4	2	1	2	1	0	3	0	1	1	1	1	0	3	7	0	0	0	1	1	1	0	2	3	6	0	4	0	1	1	7	6	6	7	7	3	5	3	19	8	6	2	0	6	11	7	3	7	15	6	9	2	12	9	2	5	7	6	5	3	4	2	1	9	10	5	5	0	3	1	2	2	10	2	1	6	9	9	11	30	2	7	2	4	1	8	10	1	6	2	17	37	5	6	7	4	3	18	4	3	5	9	6	0	4	27	3	2	8	5	6	1	5	3	5	5	17	10	20	0	7	11	4	1	6	13	5	1	6	5	11	4	4	1	1	8	5	6	8	7	17	0	3	4	12	6	4	9	7	4	8	16	0	3	2	3	1	2	3	3	3	3	4	1	6	20	5	8	3	1	0	4	3	4	1	0	7	1	4	2	0	9	1	11	11	11	7	0	2	6	11	2	0	8	5	2	2	7	10	4	7	7	18	3	1	1	6	2	2	1	1	12	6	0	0	2	16
Ins3:U1:R1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	2	0	0	0	2	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ins3:U1:R2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ins3:U1:R3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Ins3:U1:R4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1
Ins3:U1:R(5,9)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Ins3:U3:R1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	3	0	0	2	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	2	0	0	1	0	2	0	0	0	1	0	2	0	0	1	1	0	0	1	0	2	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	1	0	1	1	0	0	3	0	0	0	0	0	0	0	0	2	0	0	3	3	3	0	3	0	2	2	1	3	1	4	2	1	2	1	0	1	4	3	2	2	1	0	0	1	1	0	1	1	1	2	2	1	1	1	0	0	0	1	2	1	1	1	1	0	1	0	1	1	3	3	2	5	1	0	1	1	1	2	0	1	4	2	2	1	1	3	3	2	3	0	0	0	2	5	2	1	2	1	4	5	0	1	0	0	2	1	1	0	2	1	1	0	1	1	1	1	0	1	1	3	1	1	0	0	0	0	2	1	1	1	1	3	2	0	2	2	1	2	1	3	4	3	2	1	1	1	3	0	0	0	1	1	1	0	1	0	1	8	4	0	2	1	0	2	1	1	1	1	2	2	1	1	0	2	0	3	1	2	2	0	2	1	0	2	0	1	1	5	1	5	0	1	0	3	0	0	7	1	0	3	0	4	2	0	1	0	0	2	1
Ins3:U3:R2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	1	0	0	1	1	0	0	2	0	2	0	3	0	0	1	1	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	3	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	2	0	1	0	0	0	0	1	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0
Ins3:U3:R3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ins3:U3:R4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
