MutationType	SP123975	SP124044	SP123972	SP123850	SP123902	SP123884	SP123964	SP123995	SP123846	SP124003	SP123876	SP123878	SP123842	SP123900	SP123978	SP123897	SP124013	SP124021	SP123852	SP123998	SP123967	SP123988	SP123984	SP123858	SP123890	SP123950	SP123886	SP124033	SP123892	SP123840	SP123969	SP123953	SP123955	SP123882	SP123894	SP124017	SP123856	SP123854	SP123888	SP123870	SP123958	SP123844	SP123872	SP123874	SP123836	SP43633	SP36498	SP37516	SP39997	SP35617	SP37636	SP39907	SP40736	SP42154	SP39594	SP41453	SP34452	SP42829	SP37970	SP34186	SP37903	SP35849	SP36586	SP34431	SP37432	SP35989	SP39102	SP34493	SP36036	SP35951	SP39248	SP34246	SP35412	SP39298	SP38044	SP38271	SP43201	SP34191	SP40047	SP39349	SP37369	SP38759	SP36218	SP43510	SP43770	SP43651	SP106656	SP97249	SP106638	SP97161	SP43696	SP97113	SP97124	SP43808	SP43822	SP43514	SP97258	SP97194	SP109470	SP97278	SP109544	SP97104	SP106577	SP109457	SP109478	SP43688	SP97243	SP97269	SP113926	SP106560	SP43792	SP106602	SP97145	SP43664	SP43532	SP102816	SP102795	SP103197	SP102827	SP103233	SP103507	SP103100	SP103416	SP103005	SP102759	SP102741	SP102945	SP103826	SP103706	SP102897	SP102881	SP103715	SP102929	SP103619	SP103844	SP103128	SP103300	SP103057	SP103340	SP102913	SP102783	SP103080	SP103436	SP102804	SP102957	SP102873	SP103213	SP103467	SP103261	SP103156	SP103288	SP103444	SP103685	SP103140	SP103673	SP102839	SP103245	SP103037	SP103408	SP103021	SP103679	SP103065	SP102965	SP103221	SP103547	SP102973	SP103515	SP102747	SP103730	SP103535	SP102718	SP103483	SP103428	SP102755	SP103694	SP103595	SP103396	SP102716	SP102733	SP102989	SP103603	SP102921	SP103742	SP103555	SP103523	SP103575	SP103045	SP103455	SP103856	CPCT02020340T	CPCT02140010T	CPCT02110007T	CPCT02140015T	CPCT02020376T	CPCT02050051T	CPCT02140017T	CPCT02040048T	CPCT02060029T	CPCT02060039T	CPCT02050077T	CPCT02060050T	CPCT02020866T	CPCT02120177T	CPCT02140095T	CPCT02120176T	CPCT02120085T	CPCT02100138T	CPCT02080177T	CPCT02230079T	CPCT02340107T	CPCT02120096T	CPCT02120102T	CPCT02440023T	CPCT02160060T	CPCT02180055T	CPCT02140104T	CPCT02140105T	CPCT02190055T	CPCT02030551TII	CPCT02050317T	CPCT02180078T	CPCT02220075T	CPCT02230085T	CPCT02120195T	CPCT02080302T	CPCT02070470T	CPCT02300034T	CPCT02020955T	CPCT02020965T	CPCT02140094TII	CPCT02210083T	CPCT02100200T	CPCT02140106T	CPCT02140059T	WIDE01010156T	CPCT02100174T	CPCT02120200T	CPCT02140070T	CPCT02040248T	CPCT02060149T	CPCT02020718T	CPCT02230096T	CPCT02180064T	CPCT02020764T	CPCT02440012T	CPCT02020752T	CPCT02140071T	CPCT02140074T	CPCT02140017TII	CPCT02120143T	CPCT02030431T	CPCT02180067T	CPCT02160052T	CPCT02140080T	CPCT02170036T	CPCT02290045T	CPCT02060269T	CPCT02230113T	CPCT02050407T	CPCT02030543T	CPCT02190050T	CPCT02140087T	CPCT02100190T	CPCT02140094T	CPCT02130164T	CPCT02140093T	CPCT02020592T	CPCT02180076T	CPCT02020865T	CPCT02230059T	CPCT02180022T	CPCT02120014T	CPCT02180033T	CPCT02140046T	CPCT02080111T	CPCT02120027T	CPCT02140042TII	CPCT02070169T	CPCT02160024T	CPCT02020566T	CPCT02230033T	CPCT02030356T	CPCT02090021T	CPCT02330047T	CPCT02100107T	CPCT02020580T	CPCT02180003T	CPCT02020414T	CPCT02050087T	CPCT02010458T	CPCT02020447T	CPCT02060067T	CPCT02020480T	CPCT02140042T	CPCT02120002T	CPCT02030332T	CPCT02230015T	CPCT02060138T	CPCT02360007T	CPCT02040181T	CPCT02300027T	CPCT02120090T	WIDE01010520T	WIDE01010600T	WIDE01010710T	WIDE01010727T
A[Del(T):R(8,)]C	149	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	3	0	0	2	0	0	2	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	1	3	2	1	0	2	0	5	0	0	0	1	0	2	1	0	0	1	1	0	3	0	0	6	0	1	1	0	1	2	1	6	5	2	1	3	4	0	1	0	0	0	2	2	0	3	0	3	2	0	1	0	0	0	2	1	3	1	2	1	1	2	1	0	0	1	1	1	1	1	0	0	1	1	486	0	0	0	0	0	2	1	1	0	2	0	0	1	2	2	2	0	1	3	2	0	0	1	1	3	0	2	0	0	0	1	3	0	3	2	2	1	1	0	4	5	0	4	5	2	0	0	0	0	1	1	1	4	0	0	1	0	0	0	1	0	2	2	2	2	8	4	4	1	6	0	1	3	4	18	2	3	4	3	17	5	0	3	1	5	3	3	1	4	0	1	2	3	0	1	2	0	0	2	7	1	3	3	1	0	8	1	6	0	4	1	7	2	7	0	1	2	3	7	0	1	0	1	0	24	3	3	1	1	0	2	0	1	2	0	1	0	1	3	2	6	2	736	5	1	5	2	1	2	0	1	2	2	1	0	4	1	2	2	3	5	0	1	9	2	0	6	3	1837	4	5	0	3	0	15	0
A[Del(T):R(8,)]G	124	0	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	1	2	0	0	0	0	0	1	0	0	0	4	0	1	0	0	3	0	0	0	11	0	0	1	0	2	0	3	2	1	1	1	2	0	0	2	1	1	2	1	0	0	1	0	0	3	0	1	1	1	0	2	3	3	1	1	1	1	3	0	2	2	1	0	2	0	0	0	0	0	0	462	0	1	0	1	1	1	0	1	3	1	1	0	0	0	0	0	1	0	1	1	1	0	0	0	1	2	1	0	1	0	0	3	0	0	1	0	1	0	0	2	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	3	0	2	2	1	1	1	1	0	0	0	2	5	0	3	1	7	9	1	1	1	1	0	2	1	1	1	0	1	1	1	1	2	1	0	0	1	2	0	0	1	1	0	2	0	3	2	1	0	2	1	2	0	1	2	2	2	2	1	0	2	1	14	1	1	0	0	0	1	1	3	1	0	3	0	0	0	0	8	3	688	1	3	8	2	0	2	0	0	1	1	0	5	2	0	1	0	0	2	0	1	6	0	2	1	0	2088	2	2	1	0	0	15	2
C[Del(T):R(8,)]A	96	0	4	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	5	1	1	1	0	0	0	3	0	8	4	1	0	0	2	1	1	0	0	0	1	0	0	0	2	2	0	0	3	0	1	0	0	3	0	2	1	1	1	1	0	0	0	0	0	0	1	0	1	1	0	675	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	2	1	0	0	0	0	1	0	0	0	1	1	2	0	1	0	1	1	0	1	0	2	0	0	0	0	0	2	0	0	0	0	1	1	2	0	0	1	3	1	0	1	2	3	2	2	2	1	1	0	0	17	4	1	3	4	3	1	0	4	2	0	4	0	1	1	0	0	1	0	1	1	1	0	0	1	1	0	0	0	2	0	4	3	1	1	1	3	10	0	2	3	2	0	1	4	2	0	0	1	1	22	1	1	0	1	0	2	1	0	1	0	0	2	0	2	1	3	4	940	5	1	1	2	0	1	0	0	2	1	0	2	3	0	3	2	0	3	2	1	3	0	2	2	0	2777	0	1	2	4	0	12	0
C[Del(T):R(8,)]C	106	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	2	0	0	0	1	1	0	1	1	0	4	0	0	1	0	0	1	2	0	0	0	0	0	0	1	2	8	1	0	0	0	0	1	2	1	2	1	5	1	2	1	1	0	1	0	1	2	1	1	0	2	2	0	1	0	0	0	0	1	0	0	0	1	3	2	1	3	2	3	0	0	0	1	1	0	0	0	571	1	2	0	1	1	0	0	1	1	0	2	0	0	0	1	1	0	0	4	1	1	1	0	0	0	0	1	0	0	1	0	1	0	1	0	1	0	2	1	1	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	1	1	0	0	1	2	1	2	3	1	0	2	0	1	2	0	0	2	15	1	4	2	6	12	4	0	1	0	1	1	2	4	1	0	1	1	1	3	2	0	2	1	0	5	0	2	1	2	0	5	0	2	1	0	1	11	1	1	0	1	3	2	2	2	1	0	1	0	17	1	0	0	3	2	2	2	3	2	0	3	0	0	1	0	0	1	879	3	0	5	1	0	1	0	1	1	3	0	5	1	0	3	0	0	1	1	2	1	0	0	1	3	2220	1	0	0	3	0	18	0
C[Del(T):R(8,)]G	100	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	13	0	1	0	0	2	2	0	2	2	3	0	0	0	1	0	0	0	0	0	1	0	0	2	2	0	0	0	0	1	0	0	2	1	1	2	1	1	0	1	1	0	0	1	0	0	2	0	1	1	0	685	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	1	0	0	1	0	1	0	2	1	0	0	1	0	0	0	2	1	0	0	1	2	0	0	0	1	2	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	4	0	3	1	1	1	0	1	2	1	2	1	0	3	5	0	0	0	1	1	2	0	0	1	0	0	0	0	0	1	0	2	0	1	2	0	1	0	2	0	2	0	0	0	0	0	0	1	1	1	1	1	1	2	0	0	0	1	1	15	0	2	0	1	1	2	0	1	0	0	0	0	0	2	1	0	4	1077	0	0	3	0	0	3	0	0	2	0	1	2	4	0	1	0	1	0	1	2	0	1	1	3	3	3101	1	2	2	1	0	12	0
G[Del(T):R(8,)]A	83	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	2	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	2	2	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	0	0	0	0	1	0	2	0	0	1	1	5	2	0	2	0	0	0	1	4	1	0	0	1	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	3	0	0	0	4	0	1	0	0	0	1	1	0	0	0	0	0	6	1	1	0	0	1	1	0	3	1	0	2	0	2	0	0	2	1	498	3	1	6	0	0	1	0	1	2	2	0	0	1	0	1	0	0	2	1	0	4	0	1	1	1	1315	0	0	0	1	0	6	2
G[Del(T):R(8,)]C	56	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	1	0	0	0	1	2	0	0	0	4	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	1	1	0	243	0	0	0	0	0	0	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	2	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	2	0	2	0	0	1	0	0	0	2	0	3	0	2	6	0	0	0	0	1	0	1	0	0	0	1	0	2	0	1	1	0	0	0	1	0	1	1	0	0	2	1	1	1	1	0	4	1	1	1	1	0	1	0	0	2	0	0	0	7	0	0	0	1	1	1	0	1	0	1	1	1	1	0	0	2	2	418	4	1	2	1	0	1	0	0	1	1	0	1	0	0	1	1	0	0	0	0	3	1	0	0	3	902	1	0	1	2	0	8	0
G[Del(T):R(8,)]G	46	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	7	0	0	1	0	0	1	1	0	1	1	0	0	0	1	1	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	241	1	0	1	0	0	1	0	0	0	0	2	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	2	1	1	1	0	1	1	0	0	1	0	0	3	0	0	0	0	2	0	0	0	0	0	1	0	2	2	0	0	0	1	0	1	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	7	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	394	0	1	0	0	0	1	0	0	0	1	0	1	0	0	2	1	0	2	0	1	0	1	1	0	2	1150	1	1	2	0	1	6	0
A[Ins(C):R0]A	0	1	5	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	1	1	0	1	0	0	1	1	2	1	1	0	1	2	0	0	0	0	0	1	0	1	2	2	1	1	3	5	1	0	1	1	2	1	0	0	3	3	0	1	1	0	1	0	0	1	1	0	3	0	0	0	1	0	0	2	1	1	1	0	0	1	0	1	1	0	0	0	0	0	1	1	0	1	1	0	2	1	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	1	0	0	2	1	0	1	3	1	0	0	0	0	1	0	0	0	0	0	3	0	1	1	0	0	1	1	2	0	2	0	2	0	3	2	0	1	3	1	0	1	0	1	1	2	0	5	0	1	0	2	1	5	0	2	0	0	1	0	1	1	0	1	2	2	3	1	3	0	0	1	0	0	0	0	2	0	1	1	1	2	0	2	1	1	1	0	0	4	1	1	1	3	2	1	1	0	0	3	1	0	1	1	1	4	3	6	0	3	2	1	0	0	0	0	0	1	2	1	0	1	2	0	2	1	1	1	1	2	1	1	2	10	2	0	0	1	0	2	0
A[Ins(C):R0]T	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	2	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	2	2	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	1	0	0	0	0	2	1	0	1	0	1	0	1	2	0	0	0	2	1	2	0	0	1	2	0	1	0	1	0	3	1	0	0	1	0	0	0	1	1	0	0	0	1	3	0	1	0	0	1	0	1	1	0	1	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	2	0	1	0	0	0	0	0	0	2	0	2	1	1	0	1	1	0	1	1	1	0	1	0
Ins(C):R(0,3)	26	3	5	1	2	2	2	0	2	0	0	3	0	2	0	0	2	1	1	3	0	2	1	3	0	0	0	3	0	2	1	2	1	3	4	0	1	1	0	0	1	1	3	3	3	0	10	11	10	10	6	9	17	8	15	5	22	13	17	15	20	6	4	11	6	8	3	2	7	12	7	16	11	33	11	12	8	8	13	8	11	15	8	12	7	30	20	9	21	17	16	18	26	10	1	12	13	41	20	15	23	7	27	3	3	8	13	27	7	11	23	13	1	24	14	16	22	12	21	11	14	5	10	5	23	20	10	14	23	43	8	15	14	2	12	15	20	15	6	11	18	19	8	17	12	5	13	2	20	15	8	7	16	27	20	10	18	3	14	7	3	12	10	31	6	18	17	4	10	22	6	9	16	39	26	8	8	6	8	14	8	9	10	1	8	14	12	11	2	9	14	22	11	2	9	38	31	14	15	15	22	8	12	122	20	12	17	20	22	13	17	2	27	23	11	11	26	21	89	5	17	16	19	15	22	7	14	10	10	105	5	25	10	16	3	14	6	10	7	10	14	19	20	8	18	12	10	12	36	11	11	8	15	6	10	8	13	6	5	16	19	15	6	15	18	25	5	16	32	14	13	27	42	14	11	20	13	9	17	2	7	12	18	16	26	8	3	22	4	7	8	10	13	17	14	11	8	15	81	22	21	10	29	7	13	6
Ins(C):R(4,6)	15	0	3	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	5	1	1	1	1	0	0	0	1	0	0	1	1	1	0	2	0	0	0	0	0	0	0	3	0	2	1	1	2	3	2	3	0	3	4	2	0	0	1	3	2	3	1	2	1	1	6	3	1	1	2	3	2	3	4	0	3	1	4	3	1	3	1	1	2	5	2	2	4	0	4	2	5	2	0	5	0	1	8	5	1	4	0	4	4	1	2	1	3	2	2	4	1	2	2	2	2	5	1	2	2	1	0	1	0	3	3	4	0	4	133	0	1	0	0	2	2	1	2	3	1	2	1	3	2	0	0	1	0	3	1	0	2	0	5	5	2	2	1	1	2	3	5	1	3	1	5	3	0	1	2	0	0	2	4	3	2	0	1	1	2	1	1	2	0	0	9	1	1	0	0	1	3	5	2	0	4	6	5	2	2	2	5	5	16	11	3	5	3	8	8	3	1	5	6	2	4	10	8	12	3	1	8	10	1	8	1	2	4	5	16	1	1	5	7	2	4	0	3	3	2	2	6	7	9	2	5	2	4	4	2	2	0	4	8	9	2	4	3	1	6	6	2	6	2	4	3	1	1	9	4	9	6	137	2	6	3	2	2	4	1	9	1	1	5	4	0	2	3	1	2	2	4	3	5	1	6	2	1	241	4	2	0	3	0	6	0
Ins(C):R(7,)	5	0	2	0	0	0	1	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	2	0	2	0	1	0	0	2	0	1	1	0	1	0	1	0	2	0	2	0	1	0	0	0	1	0	0	0	1	1	1	0	0	0	1	1	1	1	1	1	1	0	0	1	0	2	0	1	8	0	0	3	2	0	1	1	0	3	1	2	0	2	0	0	0	1	2	5	2	1	5	0	1	2	0	1	1	0	0	0	1	0	0	77	0	0	0	0	0	0	2	2	0	1	3	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	1	0	2	3	1	0	0	1	0	1	0	0	1	1	0	1	1	0	0	0	1	2	0	0	0	2	3	3	1	7	5	1	0	0	8	1	1	7	6	1	4	4	3	10	1	0	3	0	0	3	2	3	14	1	0	2	4	2	1	1	3	1	1	4	0	2	1	1	0	0	1	2	1	2	0	8	1	4	2	1	0	2	3	1	0	1	1	1	9	0	0	3	3	1	0	1	7	0	1	2	1	0	4	1	7	2	114	1	3	3	1	0	0	0	1	3	1	3	1	4	0	3	3	1	1	4	3	4	0	0	2	5	284	2	0	1	5	2	5	0
A[Ins(T):R(0,4)]A	12	2	6	1	2	5	1	3	4	1	3	1	1	6	0	1	2	1	3	7	1	6	0	0	2	2	3	1	0	3	0	3	0	5	6	0	0	2	3	1	1	0	0	0	4	0	26	13	14	14	3	15	18	17	17	10	32	16	31	16	23	2	5	9	9	10	11	4	3	19	12	22	13	38	21	31	18	11	18	14	6	24	5	23	13	45	26	15	32	45	40	19	47	15	4	16	24	59	33	18	33	6	51	5	2	31	18	46	7	17	48	21	8	36	27	13	35	25	38	29	20	15	12	9	38	15	12	12	32	61	9	21	22	6	9	15	35	21	12	12	31	26	17	19	18	7	21	5	48	30	12	14	18	38	30	12	19	7	20	11	9	46	12	30	21	22	20	4	10	17	21	10	26	46	44	19	6	8	11	21	27	21	24	4	8	13	26	19	5	17	31	27	17	10	20	45	52	26	27	20	40	7	16	45	34	12	14	14	38	27	16	5	44	21	10	11	37	23	22	5	18	18	18	24	30	7	31	13	22	37	10	26	14	30	8	8	6	7	18	6	13	48	21	18	18	4	22	34	46	21	20	5	30	5	11	8	16	4	16	16	20	14	20	15	15	28	4	6	44	12	18	30	51	20	12	17	7	4	20	0	11	13	23	18	41	5	1	18	16	7	13	15	11	18	21	12	14	37	116	26	27	18	16	9	21	9
A[Ins(T):R(0,4)]C	2	0	0	0	2	1	1	1	1	1	1	1	1	0	1	1	0	0	2	2	0	2	1	0	0	1	0	0	1	0	2	2	0	0	0	1	0	1	2	0	4	0	3	1	1	2	5	12	12	7	1	3	6	9	9	5	17	5	11	10	17	2	4	7	5	3	9	3	4	6	5	9	3	32	10	8	5	6	3	7	6	8	1	7	7	21	15	4	19	13	22	9	20	8	1	7	12	26	13	14	11	1	25	2	3	6	10	13	4	4	14	8	4	19	22	7	13	6	17	9	5	4	10	4	16	6	7	5	8	47	7	7	8	1	7	4	18	9	8	6	15	15	7	10	12	3	12	4	15	13	9	4	8	7	15	10	10	6	10	6	1	15	11	13	11	12	15	4	7	14	9	0	13	24	18	8	5	4	6	14	7	7	11	0	2	5	7	21	1	8	10	9	8	1	8	19	25	6	9	8	20	5	11	13	12	5	8	6	13	9	9	0	18	9	1	2	19	8	6	1	14	7	15	7	17	6	14	6	9	12	1	14	2	13	1	5	2	4	7	3	5	21	4	11	12	6	8	11	20	6	5	3	13	2	3	3	8	2	0	7	10	8	10	3	9	11	0	2	14	3	7	10	26	3	4	8	1	2	14	0	10	4	13	13	14	3	1	13	5	3	7	4	5	1	4	2	9	15	63	10	11	12	10	4	4	5
A[Ins(T):R(0,4)]G	8	0	1	1	3	3	0	0	0	2	1	0	2	1	0	0	2	1	5	1	0	1	0	1	2	1	0	0	1	2	0	2	0	4	0	1	0	4	1	0	0	3	1	0	1	2	14	10	19	5	5	5	14	15	16	15	23	20	17	12	25	3	4	15	4	10	4	7	4	14	9	10	11	27	9	10	9	6	17	8	8	12	3	13	5	15	18	15	22	19	22	10	29	13	5	5	16	51	30	15	19	1	31	3	1	14	15	29	2	14	34	15	9	31	19	16	36	11	29	8	6	8	7	6	26	12	5	11	21	63	6	8	21	9	13	8	23	10	7	12	21	24	14	19	18	5	12	5	33	11	4	9	13	23	13	17	12	5	10	15	8	21	6	24	14	18	19	4	3	16	10	9	18	46	25	14	9	7	11	13	9	10	10	1	5	11	14	20	2	8	10	17	8	4	12	31	35	10	13	11	19	5	6	24	30	13	7	12	16	9	16	3	34	15	4	5	13	16	14	0	19	17	21	14	22	5	21	6	17	15	4	14	6	26	3	9	3	6	12	3	11	22	10	8	13	8	9	16	30	10	10	8	21	1	7	4	10	2	6	12	15	11	9	6	12	22	1	4	27	10	15	20	45	7	8	20	3	8	16	0	8	5	11	14	24	4	1	10	5	1	7	11	7	13	13	7	6	14	136	20	11	15	14	8	10	4
C[Ins(T):R(0,4)]A	2	0	4	3	0	5	1	1	2	1	2	0	1	2	1	0	1	2	3	3	1	4	1	3	0	1	2	0	1	1	3	2	1	0	3	0	0	2	4	0	2	1	4	1	3	0	4	10	5	5	2	7	7	9	6	4	13	12	15	12	10	5	2	5	6	5	4	2	7	10	5	6	4	21	5	10	5	6	6	11	5	9	20	9	6	14	12	14	23	9	14	8	13	12	1	9	10	26	23	8	7	2	21	1	3	14	7	14	3	6	7	10	6	8	13	11	7	8	16	11	10	6	2	4	16	8	7	4	6	21	5	5	6	0	2	8	10	5	8	9	10	16	4	8	12	3	4	5	16	8	4	5	9	11	9	6	10	8	9	2	8	16	5	13	5	20	10	1	9	13	5	6	10	18	25	8	3	6	15	7	8	8	13	0	3	5	11	9	2	5	7	14	10	4	7	23	11	5	8	4	14	7	7	14	14	7	5	6	12	6	14	4	12	17	7	6	8	11	10	1	12	9	17	4	17	2	14	6	3	10	8	12	8	13	2	4	6	2	5	4	8	13	10	12	14	5	6	10	20	4	4	6	16	1	3	7	6	0	6	10	12	8	4	2	10	9	6	5	16	7	7	13	22	8	9	11	2	6	7	0	10	10	8	9	16	4	5	16	8	3	7	5	6	3	6	5	3	9	66	13	8	7	8	4	7	2
C[Ins(T):R(0,4)]C	5	0	1	0	0	2	2	1	1	1	0	1	1	0	0	0	0	1	0	2	1	2	0	0	0	1	0	1	0	0	0	1	0	2	0	0	0	0	0	0	2	0	1	1	2	0	6	1	9	4	4	1	4	7	2	8	8	5	6	5	9	2	5	4	4	2	5	2	2	5	2	7	8	11	3	2	5	2	3	3	2	3	3	6	4	13	10	4	12	15	11	5	13	5	1	4	5	20	9	8	7	2	6	1	1	4	2	14	1	3	11	7	1	8	9	4	11	8	4	3	4	6	6	3	10	3	3	4	11	33	5	1	4	1	2	5	10	5	4	6	7	5	5	5	12	2	5	3	4	8	5	7	9	9	9	8	8	3	2	4	4	6	2	12	3	5	6	3	1	12	2	3	6	19	10	11	2	2	3	6	4	1	4	0	2	4	7	6	0	5	3	6	5	3	3	11	14	8	1	3	7	2	6	18	7	8	7	3	7	4	6	2	6	7	2	4	8	7	19	2	0	5	6	7	12	1	6	4	9	10	2	7	2	12	2	5	3	4	4	3	2	9	3	4	5	5	3	11	10	3	5	4	9	3	3	1	5	3	5	8	8	3	6	4	3	10	4	3	9	8	2	6	22	1	2	3	2	2	7	0	4	6	4	8	2	5	2	4	2	3	6	11	6	6	2	5	3	8	59	7	8	6	7	2	11	0
C[Ins(T):R(0,4)]G	5	0	3	2	0	1	1	0	2	0	0	1	0	2	0	1	0	0	1	6	0	3	2	1	3	2	0	2	0	0	0	2	0	0	0	1	0	0	0	0	0	1	2	1	4	1	5	6	6	8	6	3	3	8	8	4	7	9	9	8	5	5	2	11	3	4	6	2	5	6	3	5	7	11	9	7	4	4	6	8	2	6	9	4	5	6	7	4	9	15	9	6	17	6	5	7	6	18	11	7	8	2	15	2	2	7	10	12	2	2	9	4	4	7	8	8	11	7	10	12	5	3	4	2	10	5	3	7	15	69	5	4	10	2	4	10	9	5	7	7	8	8	5	14	7	8	6	2	13	8	4	2	8	8	9	3	6	2	10	7	3	10	5	17	2	9	9	3	3	12	6	5	8	22	11	2	0	2	9	8	10	5	4	1	4	4	8	9	3	6	4	11	6	4	7	29	23	6	5	2	13	4	10	9	10	6	9	7	10	5	9	1	9	7	6	4	8	9	4	1	0	3	18	2	10	1	6	6	3	8	1	5	4	9	4	5	5	0	4	2	3	12	7	5	6	1	3	5	28	4	3	1	7	4	7	4	6	1	3	6	4	3	4	3	6	9	2	4	11	6	0	8	30	10	2	5	3	0	8	2	4	7	8	6	16	4	2	5	1	2	7	4	4	5	6	3	5	14	96	7	3	7	12	3	7	2
